a adj,A3:M12
ī adj,A14:M23
in adj,A25:M34
ant adj,A36:M45
antu adj,A47:M56
u adj,A58:M67
i adj,A69:M78
ū adj,A80:M89
aka adj,A91:M100
a ordin,A102:M111
anta adj,A113:M122
santa adj,A124:M133
i card,O3:Q11
eka card,O13:AA21
ā card,O23:Q31
catu card,O33:U41
ti card,O43:U51
a card,O53:S61
dvi card,O63:Q71
ta pron,AC3:AO11
a pron,AC13:AO21
ahaṃ pron,AC23:AG31
amha pron,AI23:AM31
tvaṃ pron,AC33:AG41
tumha pron,AI33:AM41
ima pron,AC43:AO51
kaci pron,AC53:AO61
amu pron,AC63:AO71
ubha pron,AC73:AE81
a pp,AQ3:BC11
anta prp,AQ15:BC23
"amāna prp
",AQ25:BC33
"enta prp
",AQ35:BC43
"āna prp
",AQ45:BC53
onta prp,AQ55:BC63
"a ptp
",AQ67:BC75
"māna prp
",AQ77:BC85
a masc,BE3:BI12
ī masc,BE14:BI23
i masc,BE25:BI34
u masc 1,BE36:BI45
u masc 2,BE47:BI56
ar masc 1,BK47:BO56
as masc,BE69:BI78
a masc 2,BE80:BI89
"ū masc
",BE91:BI100
ant masc,BE102:BI111
antu masc,BK102:BO111
rāja masc,BE113:BI122
"bhavant masc
",BE124:BI133
"bhavanta masc
",BK124:BO133
ar masc 2
